,pr_auc_drop
avg_days_beyond_terms,0.01381863780177508
gst_filing_delay_days_mean6,0.011550415884182161
gst_filing_delay_days_mean3,0.009998660778946991
avg_days_beyond_terms_mean3,0.006812629419786151
red_flags_avg6,0.006288186171639745
industry_code,0.006281454370920499
gst_filing_delay_days_max6,0.005988607400001678
credit_utilisation_pct_max6,0.005071302822582076
interest_coverage,0.0037937337064178067
avg_days_beyond_terms_slope6,0.0034738531766847582
credit_utilisation_pct_mean6,0.0030106519544552263
gst_filing_delay_days,0.0021563244078336152
net_margin_chg6,0.0017909490691068637
debt_to_equity,0.0011560270528098344
credit_utilisation_pct_std6,0.0010457063190620296
avg_days_beyond_terms_chg3,0.000785095558496753
adverse_media_mentions_mean6,0.0007089455280400031
avg_days_beyond_terms_dev_baseline,0.000608751957414902
delinquent_invoices_mean3,0.0005244647607763145
gst_filing_delay_days_std6,0.00042458943364234264
debt_to_equity_chg6,0.00040287842647449
adverse_media_mentions_dev_baseline,0.00039692442802013544
credit_utilisation_pct_chg3,0.0003730159883401918
new_litigation_cases_mean3,0.00030467437280901993
delinquent_invoices_chg3,0.000301694710444204
adverse_media_mentions_slope6,0.0002977088023915035
adverse_media_mentions,0.00025837082639846204
ews_red_flag_count,0.0001453267047259362
adverse_media_mentions_std6,0.00014520381566491639
gst_filing_delay_days_dev_baseline,0.00014401287315334485
credit_utilisation_pct,0.00014118099093470468
stress_months_6m,0.00013131773117909065
gst_filing_delay_days_chg3,7.935359678735061e-05
interest_coverage_chg6,6.789001669582628e-05
new_litigation_cases_slope6,6.261609456657362e-05
delinquent_invoices_slope6,2.164615865123583e-05
director_changes_chg3,1.3908410410652198e-05
gst_filing_delay_days_slope6,8.922521168339137e-06
delinquent_invoices_max6,7.341033401525587e-06
director_changes_mean3,0.0
delinquent_invoices,0.0
adverse_media_mentions_mean3,0.0
open_litigation_cases_chg3,0.0
director_changes_max6,0.0
new_litigation_cases_max6,0.0
adverse_media_mentions_chg3,0.0
new_litigation_cases,0.0
director_changes,0.0
director_changes_slope6,-1.803097095631756e-06
new_litigation_cases_chg3,-6.59148715052386e-06
new_litigation_cases_mean6,-1.928078555040828e-05
avg_days_beyond_terms_mean6,-7.559917898087205e-05
new_litigation_cases_dev_baseline,-8.850926770196295e-05
director_changes_std6,-0.00011271164621872813
current_ratio_chg6,-0.00017343127693025354
director_changes_mean6,-0.00019731780118659634
open_litigation_cases,-0.00023963571915067614
delinquent_invoices_dev_baseline,-0.00025401316974792604
current_ratio,-0.0002961894231981778
company_age_years,-0.0003074038740239621
delinquent_invoices_mean6,-0.0003269159233086488
interest_coverage_chg3,-0.00034045699219278913
net_margin,-0.0004207121458285566
avg_days_beyond_terms_std6,-0.0005291516129318589
open_litigation_cases_chg6,-0.0005445970400180059
net_margin_chg3,-0.0006017321710758555
new_litigation_cases_std6,-0.0006208821145072726
director_changes_dev_baseline,-0.0008870899252699377
debt_to_equity_chg3,-0.0010101045908154683
credit_utilisation_pct_mean3,-0.001047287235297752
credit_utilisation_pct_slope6,-0.0011431411897030498
adverse_media_mentions_max6,-0.001208115930835062
credit_utilisation_pct_dev_baseline,-0.001222711291205399
revenue_growth_yoy_chg6,-0.0012834830971485782
delinquent_invoices_std6,-0.0014210958381554173
fin_staleness_months,-0.0014511377093390232
avg_days_beyond_terms_max6,-0.002366898758228278
current_ratio_chg3,-0.0026246120912889193
revenue_growth_yoy,-0.003159963411581502
revenue_growth_yoy_chg3,-0.003816000717190691
