company_id,industry,snapshot_date,p_default_6m,flagged,tier
CMP101388,FMCG,2026-08-31,0.5212,True,High priority
CMP100539,Pharma,2026-08-31,0.4944,True,High priority
CMP100118,IT Services,2026-08-31,0.4101,True,High priority
CMP102338,Logistics,2026-08-31,0.3927,True,High priority
CMP100401,FMCG,2026-08-31,0.3131,True,High priority
CMP100967,Manufacturing,2026-08-31,0.3007,True,High priority
CMP102295,Manufacturing,2026-08-31,0.2981,True,High priority
CMP101901,Manufacturing,2026-08-31,0.2974,True,High priority
CMP102816,Retail,2026-08-31,0.2933,True,High priority
CMP100989,Pharma,2026-08-31,0.2873,True,High priority
CMP101445,Logistics,2026-08-31,0.2815,True,High priority
CMP100591,IT Services,2026-08-31,0.2569,True,High priority
CMP100299,Construction,2026-08-31,0.2548,True,High priority
CMP102732,Logistics,2026-08-31,0.2497,True,High priority
CMP100334,Manufacturing,2026-08-31,0.2341,True,High priority
CMP102532,Construction,2026-08-31,0.2246,True,High priority
CMP102548,Retail,2026-08-31,0.2243,True,High priority
CMP101185,Pharma,2026-08-31,0.223,True,High priority
CMP102172,IT Services,2026-08-31,0.2226,True,High priority
CMP100566,Construction,2026-08-31,0.2226,True,High priority
CMP101908,Pharma,2026-08-31,0.2173,True,High priority
CMP101710,Pharma,2026-08-31,0.2044,True,High priority
CMP101732,Construction,2026-08-31,0.1977,True,High priority
CMP102514,Retail,2026-08-31,0.1946,True,High priority
CMP101320,IT Services,2026-08-31,0.1927,True,High priority
CMP102843,Retail,2026-08-31,0.1909,True,High priority
CMP101377,Pharma,2026-08-31,0.1865,True,High priority
CMP102113,Logistics,2026-08-31,0.1857,True,High priority
CMP102828,Pharma,2026-08-31,0.1853,True,High priority
CMP101326,IT Services,2026-08-31,0.185,True,High priority
CMP101360,Construction,2026-08-31,0.1811,True,High priority
CMP101929,IT Services,2026-08-31,0.1712,True,High priority
CMP101118,Retail,2026-08-31,0.1667,True,High priority
CMP100232,FMCG,2026-08-31,0.1588,True,High priority
CMP102960,Pharma,2026-08-31,0.1559,True,High priority
CMP100752,Retail,2026-08-31,0.1558,True,High priority
CMP101421,IT Services,2026-08-31,0.1554,True,High priority
CMP100590,FMCG,2026-08-31,0.1541,True,High priority
CMP100144,IT Services,2026-08-31,0.1533,True,High priority
CMP100231,IT Services,2026-08-31,0.1527,True,High priority
CMP102135,Logistics,2026-08-31,0.1507,True,High priority
CMP101362,Logistics,2026-08-31,0.1496,True,High priority
CMP102757,Construction,2026-08-31,0.1491,True,High priority
CMP100664,Retail,2026-08-31,0.1466,True,High priority
CMP102052,IT Services,2026-08-31,0.1444,True,High priority
CMP101387,Retail,2026-08-31,0.1426,True,High priority
CMP101263,FMCG,2026-08-31,0.1426,True,High priority
CMP100990,Logistics,2026-08-31,0.142,True,High priority
CMP101721,Retail,2026-08-31,0.1412,True,High priority
CMP101363,Manufacturing,2026-08-31,0.14,True,High priority
CMP102163,IT Services,2026-08-31,0.1388,True,High priority
CMP100712,Pharma,2026-08-31,0.137,True,High priority
CMP100700,Retail,2026-08-31,0.1341,True,High priority
CMP102800,FMCG,2026-08-31,0.134,True,High priority
CMP100062,Logistics,2026-08-31,0.1337,True,High priority
CMP101821,IT Services,2026-08-31,0.1326,True,High priority
CMP100548,Construction,2026-08-31,0.1319,True,High priority
CMP102677,Pharma,2026-08-31,0.1316,True,High priority
CMP100830,Logistics,2026-08-31,0.1299,True,High priority
CMP100786,Pharma,2026-08-31,0.1293,True,High priority
CMP102151,Manufacturing,2026-08-31,0.1291,True,High priority
CMP100263,Manufacturing,2026-08-31,0.1289,True,High priority
CMP101180,Construction,2026-08-31,0.1258,True,High priority
CMP102692,Pharma,2026-08-31,0.1251,True,High priority
CMP100537,Manufacturing,2026-08-31,0.1242,True,High priority
CMP101294,Retail,2026-08-31,0.1227,True,High priority
CMP101455,Manufacturing,2026-08-31,0.1182,True,High priority
CMP101053,Manufacturing,2026-08-31,0.118,True,High priority
CMP101356,Logistics,2026-08-31,0.1168,True,High priority
CMP101341,Pharma,2026-08-31,0.1163,True,High priority
CMP102893,Logistics,2026-08-31,0.1161,True,High priority
CMP102681,Pharma,2026-08-31,0.1153,True,High priority
CMP102891,FMCG,2026-08-31,0.114,True,High priority
CMP100769,Logistics,2026-08-31,0.1138,True,High priority
CMP100330,Construction,2026-08-31,0.1134,True,High priority
CMP102520,Manufacturing,2026-08-31,0.1129,True,High priority
CMP102874,Manufacturing,2026-08-31,0.1114,True,High priority
CMP102315,Retail,2026-08-31,0.111,True,High priority
CMP101205,Manufacturing,2026-08-31,0.111,True,High priority
CMP102804,Manufacturing,2026-08-31,0.1106,True,High priority
CMP100572,IT Services,2026-08-31,0.1092,True,High priority
CMP100955,FMCG,2026-08-31,0.1088,True,High priority
CMP102585,IT Services,2026-08-31,0.1053,True,High priority
CMP102165,Retail,2026-08-31,0.1038,True,High priority
CMP101685,Retail,2026-08-31,0.1031,True,High priority
CMP100266,Retail,2026-08-31,0.103,True,High priority
CMP100475,Retail,2026-08-31,0.1025,True,High priority
CMP102026,Pharma,2026-08-31,0.1024,True,High priority
CMP102530,Logistics,2026-08-31,0.1016,True,High priority
CMP102880,Manufacturing,2026-08-31,0.1013,True,High priority
CMP100870,Construction,2026-08-31,0.1009,True,High priority
CMP101238,Manufacturing,2026-08-31,0.1007,True,High priority
CMP101284,FMCG,2026-08-31,0.1004,True,High priority
CMP100859,IT Services,2026-08-31,0.0999,True,High priority
CMP100269,Manufacturing,2026-08-31,0.0995,True,High priority
CMP100966,FMCG,2026-08-31,0.0989,True,High priority
CMP101260,Manufacturing,2026-08-31,0.0989,True,High priority
CMP102866,IT Services,2026-08-31,0.0979,True,High priority
CMP100710,FMCG,2026-08-31,0.0961,True,High priority
CMP101141,Pharma,2026-08-31,0.0958,True,High priority
CMP101924,Retail,2026-08-31,0.0944,True,High priority
CMP101032,IT Services,2026-08-31,0.094,True,High priority
CMP102991,Pharma,2026-08-31,0.0926,True,High priority
CMP101018,Manufacturing,2026-08-31,0.0925,True,High priority
CMP100393,Construction,2026-08-31,0.0914,True,High priority
CMP102417,Logistics,2026-08-31,0.091,True,High priority
CMP100731,Manufacturing,2026-08-31,0.0892,True,High priority
CMP101768,Manufacturing,2026-08-31,0.0892,True,High priority
CMP102296,Construction,2026-08-31,0.0887,True,High priority
CMP102294,Retail,2026-08-31,0.0884,True,High priority
CMP101535,IT Services,2026-08-31,0.0881,True,High priority
CMP102142,Construction,2026-08-31,0.0876,True,High priority
CMP101619,Manufacturing,2026-08-31,0.0875,True,High priority
CMP102122,Retail,2026-08-31,0.0873,True,High priority
CMP100655,Retail,2026-08-31,0.0868,True,High priority
CMP100647,IT Services,2026-08-31,0.0862,True,High priority
CMP101913,Logistics,2026-08-31,0.0851,True,High priority
CMP101553,Retail,2026-08-31,0.0851,True,High priority
CMP101894,Retail,2026-08-31,0.0845,True,High priority
CMP100785,Retail,2026-08-31,0.0839,True,High priority
CMP101783,Manufacturing,2026-08-31,0.0836,True,High priority
CMP100251,Pharma,2026-08-31,0.0836,True,High priority
CMP100116,Construction,2026-08-31,0.0833,True,High priority
CMP102239,Logistics,2026-08-31,0.0821,True,High priority
