company_id,industry,snapshot_date,p_default_6m,flagged,tier,ews_red_flag_count,avg_days_beyond_terms_3m_chg
CMP101388,FMCG,2026-08-31,0.5212,True,High priority,1,11.1
CMP100539,Pharma,2026-08-31,0.4944,True,High priority,3,10.5
CMP100118,IT Services,2026-08-31,0.4101,True,High priority,3,-2.6
CMP102338,Logistics,2026-08-31,0.3927,True,High priority,3,-7.4
CMP100401,FMCG,2026-08-31,0.3131,True,High priority,1,3.6
CMP100967,Manufacturing,2026-08-31,0.3007,True,High priority,2,9.3
CMP102295,Manufacturing,2026-08-31,0.2981,True,High priority,3,18.2
CMP101901,Manufacturing,2026-08-31,0.2974,True,High priority,2,12.0
CMP102816,Retail,2026-08-31,0.2933,True,High priority,4,15.1
CMP100989,Pharma,2026-08-31,0.2873,True,High priority,4,9.9
CMP101445,Logistics,2026-08-31,0.2815,True,High priority,2,3.3
CMP100591,IT Services,2026-08-31,0.2569,True,High priority,2,18.1
CMP100299,Construction,2026-08-31,0.2548,True,High priority,2,8.1
CMP102732,Logistics,2026-08-31,0.2497,True,High priority,2,2.6
CMP100334,Manufacturing,2026-08-31,0.2341,True,High priority,1,4.2
CMP102532,Construction,2026-08-31,0.2246,True,High priority,1,0.7
CMP102548,Retail,2026-08-31,0.2243,True,High priority,3,3.3
CMP101185,Pharma,2026-08-31,0.223,True,High priority,3,2.3
CMP102172,IT Services,2026-08-31,0.2226,True,High priority,1,12.4
CMP100566,Construction,2026-08-31,0.2226,True,High priority,3,8.9
CMP101908,Pharma,2026-08-31,0.2173,True,High priority,2,5.1
CMP101710,Pharma,2026-08-31,0.2044,True,High priority,3,-3.6
CMP101732,Construction,2026-08-31,0.1977,True,High priority,1,1.2
CMP102514,Retail,2026-08-31,0.1946,True,High priority,2,4.7
CMP101320,IT Services,2026-08-31,0.1927,True,High priority,1,4.2
CMP102843,Retail,2026-08-31,0.1909,True,High priority,3,1.4
CMP101377,Pharma,2026-08-31,0.1865,True,High priority,1,3.2
CMP102113,Logistics,2026-08-31,0.1857,True,High priority,1,2.4
CMP102828,Pharma,2026-08-31,0.1853,True,High priority,2,9.6
CMP101326,IT Services,2026-08-31,0.185,True,High priority,1,5.5
CMP101360,Construction,2026-08-31,0.1811,True,High priority,5,-1.0
CMP101929,IT Services,2026-08-31,0.1712,True,High priority,1,0.5
CMP101118,Retail,2026-08-31,0.1667,True,High priority,1,-8.7
CMP100232,FMCG,2026-08-31,0.1588,True,High priority,3,-2.1
CMP102960,Pharma,2026-08-31,0.1559,True,High priority,1,1.1
CMP100752,Retail,2026-08-31,0.1558,True,High priority,2,6.0
CMP101421,IT Services,2026-08-31,0.1554,True,High priority,1,0.2
CMP100590,FMCG,2026-08-31,0.1541,True,High priority,0,-9.9
CMP100144,IT Services,2026-08-31,0.1533,True,High priority,1,10.0
CMP100231,IT Services,2026-08-31,0.1527,True,High priority,2,-2.3
CMP102135,Logistics,2026-08-31,0.1507,True,High priority,1,3.2
CMP101362,Logistics,2026-08-31,0.1496,True,High priority,3,1.6
CMP102757,Construction,2026-08-31,0.1491,True,High priority,4,2.6
CMP100664,Retail,2026-08-31,0.1466,True,High priority,3,4.3
CMP102052,IT Services,2026-08-31,0.1444,True,High priority,1,7.0
CMP101387,Retail,2026-08-31,0.1426,True,High priority,1,15.7
CMP101263,FMCG,2026-08-31,0.1426,True,High priority,1,12.3
CMP100990,Logistics,2026-08-31,0.142,True,High priority,1,-2.2
CMP101721,Retail,2026-08-31,0.1412,True,High priority,1,0.8
CMP101363,Manufacturing,2026-08-31,0.14,True,High priority,0,3.4
